Mw,Rrup,log(Rrup),VS30,focal_depth,eq_name,eq_id
4.37,1603.04,7.379657105510953,684.6,684.6,Enola_2001-05-04,434.0
4.37,1078.61,6.98342845413773,789.0,789.0,Enola_2001-05-04,435.0
4.37,2004.78,7.60328960803458,516.3,516.3,Enola_2001-05-04,436.0
4.37,1715.34,7.447366590679824,1500.0,1500.0,Enola_2001-05-04,437.0
4.37,1417.58,7.256706471399148,623.2,623.2,Enola_2001-05-04,438.0
4.37,825.69,6.71621940041387,299.0,299.0,Enola_2001-05-04,439.0
4.37,1523.2,7.328568664037101,318.2,318.2,Enola_2001-05-04,440.0
4.37,1826.56,7.510189695408362,905.2,905.2,Enola_2001-05-04,441.0
4.37,1287.5,7.160457632537891,1500.0,1500.0,Enola_2001-05-04,442.0
4.37,882.96,6.783279899464628,656.8,656.8,Enola_2001-05-04,443.0
4.37,1862.97,7.529927267412352,1438.6,1438.6,Enola_2001-05-04,445.0
4.37,1796.81,7.49376814941838,704.8,704.8,Enola_2001-05-04,446.0
4.37,1195.84,7.086604146297119,1290.4,1290.4,Enola_2001-05-04,447.0
4.37,1816.11,7.504452130014012,1503.0,1503.0,Enola_2001-05-04,449.0
4.37,1736.69,7.45973628168962,1207.8,1207.8,Enola_2001-05-04,451.0
4.37,1885.45,7.541921798181856,478.0,478.0,Enola_2001-05-04,452.0
4.37,1805.73,7.498720221139314,1500.0,1500.0,Enola_2001-05-04,453.0
4.37,1826.89,7.51037034657419,1500.0,1500.0,Enola_2001-05-04,455.0
4.37,1896.02,7.547512231282538,482.1,482.1,Enola_2001-05-04,457.0
4.37,1831.33,7.512797757817998,1500.0,1500.0,Enola_2001-05-04,459.0
4.37,1766.18,7.476574301224693,836.9,836.9,Enola_2001-05-04,460.0
4.37,1745.66,7.464887986623753,921.3,921.3,Enola_2001-05-04,461.0
4.37,1694.06,7.434883293711085,484.7,484.7,Enola_2001-05-04,462.0
4.37,1593.25,7.373531234194403,423.4,423.4,Enola_2001-05-04,463.0
4.37,1801.04,7.496119554812718,1500.0,1500.0,Enola_2001-05-04,466.0
4.37,1753.74,7.4695059293334145,441.8,441.8,Enola_2001-05-04,467.0
4.37,1918.27,7.559179017173108,462.6,462.6,Enola_2001-05-04,468.0
4.37,1635.68,7.399813899008704,480.6,480.6,Enola_2001-05-04,470.0
4.37,1330.56,7.193355185229593,405.8,405.8,Enola_2001-05-04,471.0
4.37,1332.29,7.194654545120989,405.8,405.8,Enola_2001-05-04,472.0
4.37,1334.54,7.196341942168322,479.5,479.5,Enola_2001-05-04,473.0
4.37,1336.7,7.197959168977427,492.7,492.7,Enola_2001-05-04,474.0
4.37,1338.9,7.1996036603033335,501.0,501.0,Enola_2001-05-04,475.0
4.37,1341.16,7.2012901901091535,445.4,445.4,Enola_2001-05-04,476.0
4.37,1343.43,7.202981323981367,361.4,361.4,Enola_2001-05-04,477.0
4.37,1345.84,7.204773632410904,410.3,410.3,Enola_2001-05-04,478.0
4.37,1347.88,7.206288266738155,355.9,355.9,Enola_2001-05-04,479.0
4.37,1349.91,7.207793202543487,382.2,382.2,Enola_2001-05-04,480.0
4.37,1352.42,7.2096508592484865,349.3,349.3,Enola_2001-05-04,481.0
4.37,1354.53,7.211209809674119,366.5,366.5,Enola_2001-05-04,482.0
4.37,1356.85,7.212921115773736,338.1,338.1,Enola_2001-05-04,483.0
4.37,1358.98,7.214489697339394,387.7,387.7,Enola_2001-05-04,484.0
4.37,1364.12,7.218264811073288,420.6,420.6,Enola_2001-05-04,485.0
4.37,1365.68,7.219407752072497,347.0,347.0,Enola_2001-05-04,486.0
4.37,1367.18,7.220505503256701,406.5,406.5,Enola_2001-05-04,487.0
4.37,1370.16,7.2226828003241135,344.1,344.1,Enola_2001-05-04,488.0
4.37,1372.37,7.224294451229196,341.4,341.4,Enola_2001-05-04,489.0
4.37,1374.74,7.22601990131164,371.4,371.4,Enola_2001-05-04,490.0
4.37,1377.04,7.22769154696325,353.5,353.5,Enola_2001-05-04,491.0
4.37,1379.17,7.229237147932717,436.2,436.2,Enola_2001-05-04,492.0
4.37,1381.33,7.230802082140884,374.5,374.5,Enola_2001-05-04,493.0
4.37,1383.59,7.23243684951449,437.8,437.8,Enola_2001-05-04,494.0
4.37,1385.96,7.23414831930453,428.0,428.0,Enola_2001-05-04,495.0
4.37,1388.08,7.235676776293416,485.7,485.7,Enola_2001-05-04,496.0
4.37,1390.32,7.237289215456478,393.5,393.5,Enola_2001-05-04,497.0
4.37,1392.58,7.238913420779581,400.7,400.7,Enola_2001-05-04,498.0
4.37,1394.87,7.240556499948854,364.9,364.9,Enola_2001-05-04,499.0
4.37,1397.01,7.242089517427476,369.1,369.1,Enola_2001-05-04,500.0
4.37,1539.95,7.339505227348125,1063.0,1063.0,Enola_2001-05-04,501.0
4.37,1567.94,7.357517934872095,418.3,418.3,Enola_2001-05-04,502.0
4.37,1597.42,7.376145106750471,463.9,463.9,Enola_2001-05-04,503.0
4.37,1353.64,7.210552539242765,1500.0,1500.0,Enola_2001-05-04,504.0
4.37,1146.6,7.044556320474282,346.8,346.8,Enola_2001-05-04,505.0
4.37,1163.27,7.058990283785639,358.3,358.3,Enola_2001-05-04,506.0
4.37,1178.09,7.071649761972266,366.9,366.9,Enola_2001-05-04,507.0
4.37,1194.51,7.085491338434463,387.2,387.2,Enola_2001-05-04,508.0
4.37,1211.53,7.099639302640869,407.0,407.0,Enola_2001-05-04,509.0
4.37,1406.7,7.24900181476365,435.1,435.1,Enola_2001-05-04,511.0
4.37,1431.81,7.2666946571533675,875.0,875.0,Enola_2001-05-04,512.0
4.37,1454.73,7.2825755953755955,394.1,394.1,Enola_2001-05-04,513.0
4.37,1481.22,7.300621351513786,341.8,341.8,Enola_2001-05-04,514.0
4.37,1515.63,7.323586473089478,939.4,939.4,Enola_2001-05-04,515.0
4.37,1096.45,6.999832967183044,328.6,328.6,Enola_2001-05-04,516.0
4.37,1105.92,7.008432846735581,364.9,364.9,Enola_2001-05-04,517.0
4.37,1119.4,7.020548106457259,383.1,383.1,Enola_2001-05-04,518.0
4.37,1622.23,7.391557024869263,417.8,417.8,Enola_2001-05-04,519.0
4.99,405.14,6.00423268638566,2000.0,2000.0,AuSableForks_2002-04-20,520.0
4.99,433.53,6.071960997978349,2000.0,2000.0,AuSableForks_2002-04-20,521.0
4.99,468.65,6.149856221192494,2000.0,2000.0,AuSableForks_2002-04-20,522.0
4.99,412.45,6.0221149863067405,2000.0,2000.0,AuSableForks_2002-04-20,523.0
4.99,448.09,6.10499410509586,2000.0,2000.0,AuSableForks_2002-04-20,524.0
4.99,468.92,6.150432178203627,2000.0,2000.0,AuSableForks_2002-04-20,525.0
4.99,517.46,6.248932227466145,966.0,966.0,AuSableForks_2002-04-20,526.0
4.99,614.9,6.421459652959424,311.5,311.5,AuSableForks_2002-04-20,527.0
4.99,1333.66,7.195682321426319,2000.0,2000.0,AuSableForks_2002-04-20,532.0
4.99,545.19,6.3011343577612795,1078.0,1078.0,AuSableForks_2002-04-20,534.0
4.99,2099.23,7.649325889806189,2000.0,2000.0,AuSableForks_2002-04-20,535.0
4.99,2160.35,7.678025524588665,2000.0,2000.0,AuSableForks_2002-04-20,536.0
4.99,191.09,5.2527445212532795,2000.0,2000.0,AuSableForks_2002-04-20,537.0
4.99,545.26,6.301262745124471,2000.0,2000.0,AuSableForks_2002-04-20,539.0
4.99,543.64,6.298287263087146,1000.0,1000.0,AuSableForks_2002-04-20,543.0
4.99,737.51,6.603279647444082,2000.0,2000.0,AuSableForks_2002-04-20,544.0
4.99,862.0,6.759255270663693,2000.0,2000.0,AuSableForks_2002-04-20,545.0
4.99,223.91,5.411244185403247,2000.0,2000.0,AuSableForks_2002-04-20,546.0
4.99,711.09,6.5667990040708615,2000.0,2000.0,AuSableForks_2002-04-20,548.0
